,reviews,Prediksi
0,pesanan saya tidak sampai kata pihak j&t sedang overload,negatif
1,sangat bermanfaat dan membantu saya dalam mengatasi kebutuhan saya yang mendadak,positif
2,"suka blnja d lazada...tp yg skrg gak suka ongkir'y mahal"" bgtttt....jd pindah dan hrs pindah deh ke sebelah",positif
3,"tetap pakek shopee saja lah,lazada mahal ongkirnya mau buat pesanan ongkirnya 2kali lipat dari harga barangnya,mending di hapus biar gak makan paket data",netral
4,sangat menyenangkan belanja dilazada,positif
5,"lazada sekarang mahal, tidak ada gratis ongkir min blnja",netral
6,sangat senang belanja di lazada,positif
7,sayang banget sering gak ada vocer ongkirnya ðŸ¥ºðŸ¥º,netral
8,"mantul payleter nya aktf lagi, trmksh lazada top banget gk ky oren",positif
9,sangat membantu dan cukup puas dalam memesan barang dengan mudah,positif
10,assalamualaikum mohon maaf nih ini kok harga nya kembali naik lagi yg standar kaya barang2 harganya 20k kok ongkir nya sampe 14k tolong dong di perbaiki lagi yang tadi nya saya mau beli2 barang ngeliat ongkir nya segitu jadi mikir2 lagi serasa beli barang murah serasa beli ongkir tolong ya buat pihak lazada barang2 yang 20k ongkir nya jangan tinggi2 bngt plish ðŸ™,netral
11,harga murah2 n pengembalian brg mudah.pembayaran dgn dana juga mudah.jgn diposisikan ke qris terus bnyakin koin lazada reward n yg lain2 diskon tanpa kita hrs susah payah mencari.perbnyak hadiah langsung sprti beras gratis dkk,netral
12,lengkap barang dan bnyak promonya,positif
13,Mohon Maaf saya kasih bintang 1 karena sering pesan tapi sering dibatalkan oleh pihak lazada karena dari pihak seller yang terlalu lemot.. Jadi mohon untuk seller yang seperti itu lebih baik di nonaktifkan saja tokonya,negatif
14,gak niat kasih promo ..uninstal,negatif
15,"mau buat akun saja repot pakai banget , chapca yg sulit di lewati , aplikasi tau lazada",negatif
16,"sangat membantu saya belanja online,,,",positif
17,"baru kali ini belanja di lazada dapat kurir kurang ajar hanya karena saya belanja promo dengan harga 10000, kurirnya nggak mau ngantar dan saya disuruh ambil sendiri",netral
18,bagus pelayanan iya cepat juga pengiriman iya,positif
19,Puas Alhamdulillah amanah banyak promo dan barang nya sesuai terimakasih LAZADA,positif
20,perbaiki pengirimannya akhir akhir ini kok jd makin lelet kurirnya gagal trs. minimal kurirnya punya nmr whatsapp. kiriman gagal tp bukti. fotonya ga jelas .trmksh,netral
21,"bagaimana tanggung jawab lazada berapa kiriman tdk ada kejelasan,, saya cek resi tdk d temukan, apakah ini ada permainan, pesanan yg blom terkirim. juga tdk bisa d batalkan, kalau yg lalu2 bisa, coba lah paket kita d perhatikan kita ini bukan COD kita ini bayar langsung,",netral
22,selama 3 tahun belanja online di Lazada mantap terus nyoba paylater sempet bisa tapi setelah lunas tidak bisa lagi di gunakan padahal pembayaran payleter lancar jadi kecewa padahal cukup membantu,negatif
23,"sangat memuaskan pengiriman,tepat waktu sesuai pesanan",positif
24,Alhamdulillah setiap belanja selalu memuaskan,positif
25,sekarang lazada mahal di ongkir tidak seperti dulu ongkir nya murah murah tolong dong di perbaik lagi dari ongkir nya meski order yg trdekat juga jangan berat di ongkir kalo gini terus semua orang pada milih order di aplikasi lain,netral
26,"awal yg Sangat Bagus bt Saya,Semangat terus Lazada.",positif
27,"Hallo lazada! Dulu aku pindah ke lazada karena ongkirnya murah, sekarang kenapa lazada ongkirnya mahal banget ya? disaat yg sebelah ongkirnya benerÂ² murahðŸ’” jadi jarang belanja di lazada sekarang",netral
28,maksud nya apa panduan dan kebijakan.. bertanya antara pembeli sama seller masak gak di ijinkan chat nya. tolong jelaskan,negatif
29,"sekarang belanja di lazada jelek,proses pengiriman toko lambat,jika kita membatalkan pesanan uang tdk bisa di tarik kembali.jdi kapok belanja di lazada.",positif
30,"Ga seru sekarang vc gratis ongkirnya minbelnya gede amat, harus blnja 80rb dan 100rb baru gratis ongkir. Auto pd pindah marketplace ini sih.",netral
31,tempat belanja paling lengkap,positif
32,Harganya terjangkau dan kualitasnya bagus.,positif
33,karena sekarang ongkirnya sangat mahal jadi ya cukuplah bintang 3 nya,netral
34,"Umpatan apa yg pantas untuk apk ini?!!!!! Selalu muncul iklan di browser dan aplikasi saya lainnya. SAYA SUDAH INSTAL & BELANJA LAZADA SEJAK LAMA. ""APAKAH HARUS UNINSTAL LAZADA UNTUK MENGHENTIKAN IKLAN ITU ??!!!!""",negatif
35,Saya tidak mengerti dengan pembayaran di apk lazada ini waktu kita pilih produk harga sekian pas cekout harga naik drastis .apk korupsi ini,positif
36,Aplikasi ini bagus tapi pembayaran nggak bisa COD,netral
37,"ini keamanan data pengguna di lazada gimana sih. buruk banget. akun saya udah lama ga dipake bahkan aplikasinya aja udah di uninstall lama. kenapa bisa dateng paket cod dari lazada, mana lumayan lagi. tolong dong ini pasti banyak data pengguna yang diretas",negatif
38,"transaksi cepat dan jelas,hrg bersaing",positif
39,"sya kasih bintang 3 karna Skrang sya ga bisa cod, kemarin2 masih bisa cod, Skrang malah ga bisa cod, jdi Skrang stop dulu belanja di lazada",netral
40,bagaiamana cara menghapus pemakain data yg menumpuk diaplikasinya min..,negatif
41,mohon di permudah untuk pengembalian apabila ada barang yg tidak sesuaiðŸ‘,positif
