,reviews,Prediksi
0,Kembalikan J&T lagi !!! hanya ekspedisi J&T yg bisa menjangkau seluruh Pelosok Negeri!,positif
1,"JANGAN MAU PAKAI SHOPEEPAY, RESIKO DANA DITAHAN GAK BISA DIAMBIL SAMA SEKALI, ATAU MALAH JADINYA HILANG, TRANSFER BANK SAJA, TOP UP SHOPEEPAY BELUM TENTU TERBAYAR HASIL CHECKOUTNYA !!!!! CSnya hanya bisa menyrung menunggu dan buat laporan, bukan solusi, setiap cs ganti ganti sampai pelanggan sendiri yg cape. NO SHOPEEPAY! KALAU TRANSFER BANK LEBIH ENAK REFUNDNYA KE BANK, JANGAN SAMPAI ADA DANA DI SHOPEEPAY",negatif
2,"apk bagus.. cuma saja saya sedikit kecewa karna item spylater saya,di tolak",positif
3,pengalaman saya saat belanja di shopee cukup mempuaskan pengiriman yg cepat dan barang sesuai,positif
4,Belanja jadi menyenangkan apalagi jk dpt free ongkir dan potongan ongkir yg banyak . Kasih jg dong free ongkir utk barang2 yg besar dan berat ðŸ˜,netral
5,Apakah kekecewaan pelanggan terhadap pelayanan penjual telah di ambil tindakan dgn tegas. seperti yg pernah aku alami. pesan dua tapi mendapatkan satu. padahal pembayaran penuh. sesuai dgn harga yg tertera,positif
6,jujur suka banget karna banyak diskon +terpercaya +semua yang kita mau ada inti nya yang pengen suatu barang yang gak ada di kota atau daerah kalian beli aja di Shopee pasti adaa,positif
7,pakai shopee belanja jadi lebih mudah karena barang2 nya bervariasi sesuai yg kita cari. cuma kenapa ya pembayarannya gak bisa pakai DANA.,positif
8,gimana sih pesanan saya sudah mau sampai tiba2 statusnya batal dan dana dikembalikan padahal sudah nunggu lama2 gak jelas sumpah shopee apa lagi kurir spx yang sangat busuk...,negatif
9,"Sudah sesuai ekpetasi barang yang dipesan, adapun penjual yang tidak berkomitmen bintang ke masing-masing toko urusan nya",netral
10,"seneng sih belanja di shopee, hampir tiap hari belanja di shopee, tapi untuk kali ini sy g banja lagi di shopee karena g bisa COD",positif
11,"membantu sekli ubgi saya, utk belanja memenuhi kebutuhan sehari"". gk usah repot keluar rumah, apalgi bgi saya yg mempunyai keterbatasan dlm bergerak.jd saya gk perlu keluar utk mendapatkan barang"" yg saya butuhkan.kurirnya jg baik dan ramah.",positif
12,"informasi untuk pesenan sudah seperti semula jgn di ubah-ubah lg,cuma 1 lg blm di rubah jgn ada lg peringatan pengambilan poin tiba-tiba dgn Alasan tgl Kadaluarsa poin,jdi org mau belanja agar nyaman/tenang di Shoppe",negatif
13,"aplikasi dan pelayanan paling jelek se-Indonesia khususnya shopee food. udh lapar mo mati mampos drivernya malah dapat pesanan lain, dan diambil. pelayanan paling ngaco shopee food!",negatif
