,reviews,Prediksi
0,"mau topup shopee pay ada adm. terus bayar pake shopee pay bukannya lebih murah drpd cod malah lebih mahal. udah mana kalo topup kena admin, harusnya mah ngga gitu kaya apk sebeleh. atau mungkin adain metode pembayaran Qris jadi lebih mudah !!!!",netral
1,kenapa mesti terusÂ²san di update. kmrin di update selang 2 hari update lagi.. lama ke lamaan ini aplikasi bikin geram ajahðŸ˜¡ðŸ˜¡ lama kelamaan bnyk yg ga suka sma ininaplikasi,netral
2,"bagus, walaupun beberapa kali kecewa karena barang orden tidak dikirim atau 1 hari sebelum estimasi barang tiba, ada pemberitahuan pesanan dibatalkan. ditanya pada pemilik toko katanya masalah di sistem shopee nya.",negatif
3,"sebagai pengguna Shopee sudah lama, sekarang pengiriman lamaaaaa bener estimasi 3 hari , paket nyampe bisa 1 minggu ðŸ˜‚... harus di perbaiki lagi itu pengiriman nya",netral
4,"sayang bgt sekarang udah gak bisa nikmatin fitur Spaylater dan SPinjam lagi, padahal jatuh tempo udah di bayar 7 bulan yg lalu kirain pas di lunasin bakal bisa menggunakan lagi ternyata tidak. udah chat CS maupun via telpon dan email tetep gak ngebantu. padahal belanja paling menguntungkan menggunakan SPaylater ini karna banyak cashback. bukan keinginan saya sebagai costumer untuk tidak membayar tepat waktu, kalo tidak kehilangan hp. bye2 shopee terimakasih untuk 7 tahun ini.",netral
5,Tolong ! Shopeelive dan shopee video jangan pemutaran otomatis.ini aplikasi olshop atau aplikasi tiktok?? seharusnya ada setting pengaturan di app shopee biar bisa nonaktifkan shopeelive dan shopeevideo.beda dgn olshop sebelah bisa di setting .,netral
6,"saya suka dengan Shopee,aman dan terpercaya,sang mudah di mengerti,pokok nya the best lahðŸ”¥ðŸ”¥",positif
7,superr bagus banget ngebantu banget yang mager untuk keluar beli apapun itu semuanya ada disini di shopee tinggal klik datang deh seneng banget pokonya:).,positif
8,"suka banget, karna sangat membantu untuk yg pada males belanja ke toko offline. biar ga merembet belanjanya, pilih sesuai kebutuhan n CO tau tau dah sampai rumah.",positif
9,"Untuk biaya layanan COD nya tolong jgn terlalu besar donk,toko sebelah ajh cma 2% dr harga belanja nya,ini ampe mencapai 10%,terlalu mahal, .",netral
10,"Update Shopee v.3.49.35.6.57.2, KERANJANG BELANJA checkout selalu keluar notif 'anda belum memiliki alamat pengiriman, mohon tambahkan alamat baru'.. Pilihannya 'batal' dan 'tambahkan alamat baru'.. Pilih batal -> keluar halaman checkout, kembali ke Keranjang.. Pilih tambahkan alamat baru -> Setelah di isi ngga berdampak apapun karena sudah isi alamat sebelumnya di pengaturan.. Pilih tombol back <- bawaan hp notif hilang dan tetap di halaman checkout. TOLONG DI PERBAIKI THANKS ðŸ™ðŸ»",netral
11,"Aplikasi terlalu berat dan sangat lag ktika dijlankan, buka daftar trolly bisa makan waktu 5 menitan sndri, ktika mau melakukan pembayaran jg sngat kesulitan krn lemot",netral
12,serng belanja di shopee tapi spay laternya ga bisa dipake aneh,netral
13,di percrpat pembayaran s pnjam malah gak bsa d pake lgi. kecewa sama kbjikannya,netral
14,shopy skrang agak lambat pengirimanya semenjak pake spx.masih bagusan pake jnt. pengiriman kadang tidak tepat waktu.estimasi smpai tanggal 1 atau 3 .tapi nyatanya tanggl 5 baru sampai.,negatif
15,tolong perbaiki NOTIF SHOPEENYA! SETIAP ADA NOTIF SHOPEE masa otomatis langsung masuk ke shopee padahal gada sama sekali kita pencet notifnya!!!!,netral
16,bagus banget sih malah tapi ini shope ya ini agak nge lag gitu kaya mau masuk kedalam shope tapi keluar lagi juga ini lemot hape aku gitu tolong perbaiki lagi ya TPI ini bagus juga kok shope bagus juga kok ok terimakasih ðŸ™ðŸ™ðŸ™,positif
17,"Hallo apk bagus! cuma ada kendala dimana akun shope terkusus untuk alamat tertentu ga bisa cod lagi,Udah satu bulan kalau iya ada masalah,kapan nih bisa membaik seperti sedikala,semoga lekas membaik ya supya bisa COD lagi",netral
18,"Shopee sangat membantu,ongkirnya paling murah dibanding yg lain,,",netral
19,Aplikasi yang bagus untuk belanja keperluan sehari-hari hanya saja untuk hp kentang seperti punya saya kadang suka lemot/berat sekali,netral
20,"Barang sampai dipenerima on time belanja simple , terima kasih",positif
21,"sangat beruntung bisa mengenal ,menggunakan shopee dan bertahan sampai detik ini .terima kasih banyak shopee ðŸ™ðŸ™ðŸ™",negatif
22,akun terblokir oleh call center karna ada yg sempet mau bobol. di bilang 24jam bisa log in lagi tinggal masukin nomer atau akun google. tapi ini udah 2hari coba log in gk bisa2. tolong di bantu kalau gk saya ganti saja ke toko ijo. Oren makin lama makin ribet,netral
