,reviews,Prediksi
0,"Membosankan belanja di lazada sekarang 2025, tidak ada gratis ongkir, kadang ongkir lebih mahal dari harga.",netral
1,"Tolong dong aktifin lagi paylater saya, biar nyaman pake lazada selamanya",netral
2,"Permisi untuk pihak lazada saya mau beli tas di lazada awalnya normal saja dengan harga Rp 73.000 tapi pas saya lihat ongkirnya, ongkirnya itu malah mahal sekitar Rp 6000.000 an , mohon di atasi lebih lanjut terimakasih",netral
3,"barang sesuai pesanan, pengiriman cepat dan gratis ongkir lgi. ðŸ‘",positif
4,"Pertahankan dengan ongkir mahalnya ya, biar saya gak kalap belanja terus. dengan ongkir mahal saya jadi malas belanja dong, seneng deh duitku bisa ditabung heheheee",netral
5,"hapus aja event Lazpanen dan sejenisnya itu semua cuma gimick giliran mau di claim sedikit lgi malah di persulit, udah gitu pelit bngt sama voucher nya minimal voucher nya banyak lah kaya sebelah ini mah udh banyak gimick pelit voucher penjualan rendah hadeh",netral
6,"Susah untuk mengaitkan akun. Pertama membuat akun sudah dibekukan dengan alasan ""kemanan akun"". Mohon untuk ditindaklanjuti ðŸ™",negatif
7,"apk gajelas padahal sinyal lancar kuota banyak, malah bug truss",netral
8,jangan mau instal apk gj ke gini gak di mana mana muncul terus iklan lazada yg belom dowload juga udah kerasukan iklan lazada apa lagi gua yg udah instal apk gj.,negatif
9,"dulu lazada lumayan recommended lah tapi sekarang gila ongkir ya mehong"" mikir 2 x mau belanja juga mahalan ongkir ya drpd barang yg kita beli",netral
10,lazadah emang bikin gampang mencari barang yg kita cari manusia terus da semakin sukses lazada,positif
11,"lazada sekarang ongkir mahal, masa ia barang yang mau saya bli cuma 14 ribu ongkir nyh 11 ribu ada yg 29 ribu itu lebih mahal dari harga paket nyh saya sangat kecewa lazada mohon di perbaiki untuk masalah ongkir nyh ðŸ™",netral
12,"selalu berlangganan belanja di sini, sesuai pesanan, pengiriman. cepat bisa pke paylater pula ðŸ‘ðŸ‘",positif
13,"Lazada sekarang kok ongkirnya gak ada si, dulu minimal beli 30ribu udh dapet gratis ongkir, lah skrng gak ada sama sekali kocak. Mana penjualnya suka gk amanah kagi",netral
14,Tolong untuk lazada ditambah lagi voucher gratis ongkir nya masak makin kesini I ongkir cuma 10k doang untuk min pembelian 30rb lagi,netral
15,"Applikasi milih2,, Tidak ada fitur lazapaylater nya.. padahal semua sudah terverifikasi sesuai data !!! trims :)",positif
16,kenapa ya DI LAZADA barang memang agak murah tapi di ongkir terlalu mahal beda dengan dengan toko sebelah.makanya sudah lama tidak belanja lagi di LAZADA,netral
17,"biasanya tiap produk yang diulas dinilai 30/60 sekarang satu produk cuma 15 yang biasanya 30, ongkir minimalnya mahal banget, belum lagi pas pembelian pakai koin harga aslinya ngga ngotak banget. Akan bagaimanakah nasib Lazada selanjutnya?",netral
18,"banyak iklan yang sangat mengganggu aktivitas saya ,saya sangat merasa ternganggu dengan itu",negatif
19,"Yah jadi kacau Lazada,ongkirnya minimal belanja buat dapet free ongkir nya gede banget,gak kayak biasanya,padahal aku udah percaya betul sama lazada,mohon di murahin lagi dong lazada,Jadi jarang belanja kalo ongkir mahal kayak gini mah ðŸ¤§ðŸ¤§ðŸ¤§",netral
20,"Saya adalah orang langganan lazada.Tapi sekarang tidak, karena akun saya terkunci semua, karena semua akun saya tertaut dengan nomor HP, padahal saya sudah mencentang tulisan ""Saya bukan robot"" dan sudah menyelesaikan puzzle, dan sudah benar, tiba tiba saat saya memesan 1 barang akun saya terkunci permanen ""SEMUA"", untungnya paket saya tetap datang, tapi sekarang saya sudah tidak bisa lagi pesan di lazada, jadi pindah ke shopee aja, padahal saya sudah langganan lazada bangetðŸ˜”",negatif
21,"Sebelumnya saya sangat sering belanja di LAZADA dan penggemar berat LAZADA, namun akhir-akhir ini sudah tidak pernah lagi, karena ongkirnya melarang saya untuk belanja di LAZADA.",positif
22,"kenapa playlater saya ga bisa di pakai, padahal saya tidak punya tagihan saya selalu bayar tepat waktu. udah gitu gratis ongkirnya ga ada parah bgt lazada!!!",positif
23,"dulu sering banget belanja disini, tapi beberapa bulan terakhir aku pindah ke si ijo & oren, alasannya karena beberapa kali kena tipu seller, produk yg di iklan & deskripsi sangat beda ketika udah sampai, sering komplain tapi kok lazada seperti membiarkan & tidak menindak seller2 seperti itu. ditambah akhir2 ini udah ga pernah dapet gratis ongkir. saran untuk lazada agar penggunanya tdk beralih ke aplikasi lain, perketat lagi pengawasan terhadap toko2 yg tdk amanah, & kembalikanlah gratis ongkir",netral
24,"kayanya lazada di ambang ke bangkrutan, makin sini kiriman ga jelas datangnya, kurir kalian pada males nganter, padahal kurir 2bln yg lalu gesit, ini khusus area bojongloa kaler, pokoknya payah jadi males belanja di lazada, mending pindah ke si oren",negatif
25,saya senang berbelanja dilazada semoga sukses tambah murah harganya,positif
26,super cepat super murah untuk kali ini aku pesan ban belakang 90/90 oke makasih ðŸ‘ðŸ™,positif
27,saya suka soalnya banyak promonya,positif
28,"sbenernya aplikasi ini bagus cmn ga tau kenapa penjual yang ada di dalam aplikasi ini, rata-rata ceroboh seperti beli brang yang tidak sesuai gambar dan tidak sesuai dengan pesanan dan kejadian ini tidak 1/2 kali sering sekali apalagi seringnya di pembelian sandal/baju yang kadang salah ukuran dan warna, tolong untuk pihak lazada agar memberikan keamanan dan kenyamanan bagi pengguna lazada, dan karna kejadian ini saya jadi malas beli barang atau kebutuhan lainnya di lazada dan lari ke TT shop ðŸ™",positif
29,saya kerja jadi kurir Lex udah hampir 3 tahun gajih 1500/paket tanpa bensin tanpa apapun jauh dari expedisi lain itu ketika paket normal sekarang hitung gajih lebih besar pengeluaran BBM dari pada penghasilan. kepada lazada tolong lah perbaiki lagi manajemen nya. supaya yang belanja nyaman kurirpun jaya dan makmur,netral
30,engga engga lagi deh pake apk ini.. apalg pake lazpaylatter.. masa tlt 3 hari doang bunganya gedeee bangeett.. apk sebelah engga kayaa gituu deh tlt 3 hari jugaa..,netral
31,suka sih belanja di lazada cuma sekarang ongkir nya makin mahalðŸ˜­,netral
32,"Lazada aplikasi yang bagus walaupun ada beberapa kali di tahun 2024 transaksi bermasalah dan sudah dilaporkan ke customer care dan spesialis agent, karena kelalaian saya sendiri dalam pemakaian dan pemberian pin di email. mudah mudahan di tahun 2025 lebih baik. .",negatif
33,pelayanannya sangat memuaskan,positif
34,"pesan untuk toko di lazada ,KLO jualan amanah pesan 3 datang 1 ,barang ,mending saya apus aplikasi lazada ,mending saya beli toko orent amanah",positif
35,"menurut saya aplikasi ini memaksa sekali untuk membuka aplikasinya sendiri,aplikasi ini bisa membuat saya jadi gila karena saat saya man game terus iklan pas gak mencet apa apa langsung ke teleport ke aplikasinya",negatif
36,"saya suka belanja di Lazada,karena harga nya terjangkau dan barang nya bagus,dan mudah di dapat, terimakasih ðŸ™â™¥ï¸",positif
37,"barang bagus, pengiriman cepat",positif
38,cepat pengiriman y,positif
39,simple bgt pembayaran nya,positif
40,kenapa nggk ada COD lagi padahal aku suka banget aplikasi lazada,netral
41,kenapa akun saya tidak bisa masuk tiap kali harus hubungi cs tapi di telpon ga ada balasan..padahal saya sudah lunasi paylater saya...,negatif
42,mudah dan marang sangat menarik,positif
43,"Main lazpanen nunggu lama sebulan lebih, tiap hari bolak balik siram , giliran udah panen dapat beras nggak bisa di klaim , krena khusus untuk area jabodetabek ,sedangkan saya di jateng. Seenggak nya kasih hadiah pilihan lain , jangan cuma beras doang",netral
44,suka belanja karna harga nampol...semoga toko amanah dan tidak mengecewakanðŸ˜ŠðŸ˜ŠðŸ˜Š,positif
45,"setiap pesan belum pernah kecewa, slu siap pakai, layar setuhny Ok",positif
46,"Saya pakai paylater lazada saat saya mau bayar tidak ada menu nya, bagaimana solusinya? saya ditelpon dari lazada terus",negatif
47,saya sangat puas berbelanja dan banyak diskon nya,positif
48,"knpa tibaÂ² paylater dibekukan , pdahal sya bayar sllu tepat waktu , ditmbh ongkir skrng lebih mahal dn jarng dpt gratis ongkir , tlong ia lazada diperbaiki lagi .",netral
49,sangat membantu terima kasih lazada pantau terus pedagang nya biar yg blanja tidak kecewa,positif
50,kerennya aku cekout terus setiap hari terimakasih lazada ðŸ˜˜â™¥ï¸â™¥ï¸,positif
51,"saya sudah 5 kali kena tipu barang yang ga sesuai misal aku pesen tempat warnanya hijau tapi yang dateng warnanya biru aku coumplain sama penjual sampe sekarang belum ada jawaban, tapi kenapa aku ga kapok kapok karena di lazada murah dan juga bisa beli pake voucher juga semoga bisa di perbaiki yaa lain kali",negatif
52,makin kesini ko makin aneh sih lazada nih. masa daftar pake nomer hp trus konfirmasi email tp email itu bukan atas nama email kita .tolong di perbaiki lg kemarin2 login langsung masuk tanpa konfir email,negatif
53,lazada ongkir mahal banget nggak pernah ada gratis ongkir mana penjual disni kebanyakan nipu,netral
54,"kenapa saya tidak bisa melakuan pembayaran dengan cod,ini udah hari ke 3,udah di hapus aplikasi dan di instal ulang,tapi tetep tidak bisa melakukan pembayaran dengan cod",netral
55,rata rata pada gak niat jualan kalau di LAZADA masak CO dari tgl 1 sampai sekarang gak dikirim2.,negatif
56,top deh belanja produk di lazada,positif
57,baru pemula harapan ke depan banyak bonus nya ðŸ™,positif
58,"saya itu pengguna setia lazada,setiap hari saya check in,tiap Minggu pasti saya belanja Pampers buat anak saya,tapi setelah saya update kok malah ongkir mahal,koin dikit, minimal pembelian naik,terus potongan koin juga ga ngotak,harga di naikin,koin juga di gedein, tolong dong di perbaiki kaya lazada yang dulu, makasih",positif
59,lajada itu luar biasa sangat membantu dan pengantar pesanan pun cepat saya suka ðŸ˜Š,positif
60,bagus tolong pembayaran cod nya punya saya diaktifkan,netral
61,"setelah update, tukar lazreward setelah lihat video tidak bisa dilakukan",positif
62,belanja d lazada tdk mengecewakan,positif
63,sangat bagus dan cepat terimakasih lazada â˜ºï¸,positif
64,"lazada sekarang sering ngelag ya, padahal dulu lancar, aku buka aplikasi lain lancar semu, pas buka lazada kok sering ngelag, tak kirain sinyalku tapi ternyata tidak, padahal suka banget belanja di lazada",netral
65,"pengiriman terlalu lama,bahkan seminggu lebih belum tentu di kirim!!",netral
66,Alhmdulilah dengan adanya Lazada lebih baik dan mudah untuk berbelanja,positif
67,lebih mudah jika barang tidak ada di toko dekat rumah tinggal pesen saja di lazada,positif
68,"aplikasi terburik di dunia, ga jelas banget nih apk masa, paket gua kagak datang-datang. jelas-jelas gua ada di lokasinya, disitunya ""Penerima tidak berada di lokasi""kan ga jelas banget, gua dah nungguin lamaa bet anjirr mana kagak bisa di cancel+ nelpon kurirnyaaðŸ˜­ðŸ—¿",negatif
69,"baru kali ini coba belanja di lazada ,emng dah bagus bangat kalau belanja di sini",positif
70,kalau tidak ada biaya tambahan lebih seneng lagi ya wkkk,positif
71,"gj,pernah ketipu beli baju,dapetnya bekas,udah kek pemakaian bertahun tahun,udah coba laporin gada solusi yang baik,udah gw lupain,gw hapus,tiba tiba,lagi enak enak baca komik,malah masuk app ini,lagi scrol tiktok nge geser iklan,buat apa ada biji biji penanda geser nya,pas geser kan malah pindah alam,padahal pas sebelum itu gw yang asalnya mood gw sedang berbinar binar,lagi ketawa ketawa liat postingan org,kalo depan komuk udah gw tonjok depan muka,bisa ga sih jangan ganggu hidup gw sekali aja",negatif
72,makin kesini makin lambat pengiriman nya. yg tadi nya cmn 3-4 hari sekarang bisa sampe semingguan. padahal seller sama lokasi sama. dan sekarang bukan LEXid lgi tapi ninja. ninja tuh lemaot coooo asli,netral
73,"BEDA SAMA DULU!! . SEKARANG TIDAK ADA GRATIS ONGKIR. masa iah harus minimal 40 rb baru ada gratis ongkir, dulu 10rb jga gratis ongkir. atau 20/30rb . ya mending beli di offline ya. niat nya mau beli grosir an tapi malah ada ongkir nya ..",netral
74,semoga pesanan sesuai yang diinginkan sama seperti yang di liat di gambar ðŸ˜,positif
75,barang tidak sesuai dengan gambar..pastinya harga mahal klo sdh liat barangnya..belanja pakai paylater..telad 3 hari bayarnya tagihannya kaya mau merampok..stop pakai paylater lazada..mencekik.,netral
