,reviews,Prediksi
0,"jelek,gak bagus Penyalahgunaan ID ,baru aja login gak bisa pakai voucher (OC01) mau belanja aja susah , buang buang waktuðŸ˜¡ perbaiki systemnya , kalau dibandingkan lazada dengan SHOPPE , SHOPPE lebih baik dari lazada",negatif
1,"murah2,suka bgt belanja di lazada",positif
2,"saya ingin berhenti belanja di lazada, karena layanan pesanan dan kurir tidak menyenangkan.dan bahkan sangat mengecewakan, beberapa kali paket saya di bobol/ dibuka dalam proses pengiriman,sehingga saya merasa dirugikan dan dilecehkan privasi saya, tidak hanya sekali, tapi beberapa kali, saya Mohon dihapus aplikasi lazada di acount saya. Terima kasih",negatif
3,saldo pengembalian lazada kurang fleksibel harusnya bisa buat bayar pesanan ya kalau kurang tinggal tambah metode lain non cod ini gak bisa harus pembayaran saldo aja,negatif
4,senang belanja dilazada karena amanah,positif
5,"mau lu apa hah?kalo iklan tuh gausah maksa buat masuk aplikasi lu!,percuma lu maksain orang""buat buka lazada tapi orangnya ga minat sama sekali/ga butuh.mana ganggu bangwt tuh iklan+tambah device jadi lag kalo lagi ngapa-ngapain,bisa ga sih?gausah bikin orang jadi kesel? kalo ada iklan lazada tuh.mendingan iklan toko sebelah ga ribet mana ga ganggu lagiðŸ™ðŸ¿",negatif
6,game merge boss level berikutnya donk.. lama amat update nya.. plis buruan. ketagihan nih mainnya,negatif
7,"Banyak penipu di Lazada, setelah pengajuan untuk mengembalikan barang / dana malah di tolak. Padahal foto keterangan sudah jelas tapi tetap tidak di terima.",negatif
8,foto dan spesifikasi seharusnya sama bisa nggak,positif
9,pengguna baru harga nya sangat mahal beda sama shopee dan tokoh pedia serta tiktok pembeli baru dapet vocer terbaik ðŸ‘Ž,positif
10,sukses trus lazada semoga peminatnya semakin bertambah,positif
11,"kecewe sama pelayanan lazada kejadian pas return barang, ketika barang sudah di return tapi uang atau saldo tidak kembali, menangkan ke pihak lazada gak ada solusi malah seperti lempar batu sembunyi tangan begitu sajah.. LAZADA BURUKK",negatif
12,bagus buat membantu mencari kebutuhan kita,positif
13,"semoga pesanan saya pas tidak meleset,tepat hari nya nyampek kerumah",positif
14,"makin kesini pake Lazada, Kuota nya kesedot nya banyak banget. baru buka lazada 10 menit kuota kesedot 800mb tolong dong pihak lazada diperbaiki lagi jadinya ngga nyaman karena takut kesedot lagi kuotanya",netral
15,"Setiap pesen barang yg dateng salah terus,shopee lebih bagus deh pokonya",netral
16,nyaman dan cepat,positif
17,Saya pesan barang sudah 2Ã— di batal kan dan uang yang di kembalikan tidak 100%,negatif
18,LAZADA Banyak CASHBACK VOUCHER dan BONUS sekarang pengiriman INSTANT di LAZADA susah di temukan jadi kalau butuh barang cepat yang sangat di perlukan harus ke aplikasi lain yang bisa INSTANT,positif
19,barang cepat sampai sesuai pesanan,positif
20,"aduuhhh,,, ganggu banget! tiap liat drama or film, kalo pause selalu masuk aplikasi.. aplikasi sudah dihapus, malah masuk playstore buat download.. capek dah",netral
21,"Kecewa dengan lazada sekarang,ongkirnya mahallllll,padahal bertahun tahun sangat nyaman belanja d lazada,banyak gratis ongkir,ditambah potongan koin pula,tapi sekarang ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ ongkirnya selangit,kayanya delete aja deh,mending pindah ke sebelah ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™",positif
22,Tingkatkan terus pelayanan untuk menjadi lebih baikðŸ‘,positif
23,klo belanja yang lebih murah ongkir nya malah lebih mahal .. percuma ada lazcoin tetep aja gak bikin turun harga. parah banget.. padahal bikin pesanan disini lebih cepet sehari doang udh nyampe tapi ongkirnya itu loh ðŸ˜–.. males belanja jadinya,positif
24,proses pengiriman pesanan sangat terlambat datang tidak sesuai dengan estimasinya...,netral
25,saya udah lama tak mengunakan apk lazada sekali mau di gunakan untuk kridit pakai playleter tak muncul lagi kemaren ada sekarang menghilang bantu lah min munculkan playleter saya di pak lazadaðŸ™ðŸ™ðŸ™,negatif
26,gak bisa masuk dan daftar akun selalu di kunci,negatif
27,lazada bagus pengiriman cepat,positif
28,mantap.harga murah pengiriman cepat,positif
29,"alhamdulillah belanja di lazada amanah trus tokonya,,, semoga tambah sukses dan amanah slalu!",positif
30,"untuk aplikasi lazada ini sebenarnya tidak ada masalah, namun yang menjadi masalah adalah iklannya yang ada di setiap aplikasi yg saya unduh, terlalu banyak iklan lazada yang bikin hp saya jadi lama untuk loading. untuk sekedar menonton film saja harus ada iklan lazada yg harus melewati aplikasinya terlebih dahulu, dimohon untuk pihak dari lazada untuk memperbaiki sistemnya agar kami sebagai pengguna bisa nyaman menggunakan aplikasi ini dan aplikasi yang lainnyaðŸ™ðŸ»",negatif
31,apa lah baru donload mau daftar malah akun dikunci udah dibuka eh malah kekunci lagi gua coba ganti akun eh malah kekunci lagi apalan aplikasi gk jelasss. ðŸ—¿ðŸ—¿ðŸ—¿ðŸ—¿,negatif
32,"saya lebih suka belanja di lazada karna harga lebih murah di bandingkan lainnya,",positif
33,saya suka s kali motifnya bahanya jg bagus,positif
34,"Ganti perangkat malah gabisa login, udh dengan cara apapun pake email, FB, nomer telepon tapi tetep aja gabisa login. Udah di DM ke IG, pengaduan customer tetep aja gabisa.",netral
35,Knp ya di lazada mahal2semua awal nya murah pas blm di daftar eh setelah daftar semua pada mahal kaca kecil aja 69 semua mahal 69 Ribu aduh jgn Gilak dong mau naik haji lu,netral
36,ok mantap koin lebih murah meriah tapicuma sedukit barang,positif
37,"lazada sangat pelit gratis ongkir,walaupun dekat tetap saja kena ongkir mahal,lebih jauh murah n bebas ongkir di orange.",netral
38,".in chat penjualnya gimana dah, ui ux nya noob, apa emang gk bisa? di app sebelah gampang kok nemunya",positif
39,belanja onlen murah,positif
40,tolong lazada...kok pengiriman lelet sekali. estimasi tangal 28. tp sudah tgl 30 belum datang jg. dan tidak ada pemberitahuan keterlambatan pengiriman dari lazada,negatif
41,pengiriman paket tepat waktu amanah kurir juga ramah2....,positif
42,gratis ongkir cenahðŸ¤“ harga ongkir nya sama kayak harga barang nya,netral
43,semoga pesanan sesuai yg diinginkan dan TDK salah lgi....,positif
44,"onkos kirimnya kenapa mahal sekali sape 600 ribu ,kecewa",negatif
45,kecewa sama lazada juga kurir nya parah banget barang GK sampe sampe,positif
46,banyak promo dn gratis ongkir,positif
47,"saya mesan barang, lama banget sampainya padahal di estimasi nya tgl 26 sampai skrg blm juga dikirim dan status paketnya masih dikirim ke j&t sangat mengecewakan sekaliii, udah gt resp penjualnya juga lama bgt huuuhhhh",negatif
48,"hallo kak , hp saya hilang ada yang nyuri , saya pengen masuk ke akun yg lama tapi gak bisa harus pake verifikasi kode ,no yg lama kan gak ada hilng , gimana caranya pengen masuk ke akaun yg lama , soalnya masih ada tanggungan bulanan di akun itu .",netral
49,makasih lazada karna setiap beli di sini selalu dapat promo gratis ongkir,positif
50,belanja hemat ekonomis dari rumah,positif
51,terima kasih buat lazada semoga terus berkembang dan penuh inovasi,positif
52,"lazada penipu, banyak seller penipu di Lazada, tanggapan tidak direspon sama lazada",netral
53,dah langganan belanja d lazada. cepet. kurirnya baik langganan juga,positif
