,reviews,Prediksi
0,"Bagus, tapi ada kendala dengan metode pembayaran yang hanya Alfamart dan link bank aja..",netral
1,proses cepat dan mudah untuk berbelanja online praktis,positif
2,"Terima kasihðŸ™, sekarang saya bisa belanja lagi dengan menggunakan gopay leter ðŸ˜ðŸ˜ðŸ™ðŸ™ðŸ™",positif
3,"Saya tidak tau apa yang terjadi dengan Tokopedia, belanja di Tokopedia kurang enak! Apa yang bisa diandalkan? Voucher kagak ada, walaupun ada tapi sulit, tidak ada koin potongan, tidak ada gratis ongkir min.belanja 0!! Coba liat, Shopee gratis ongkir numpuk, voucher gak pelit, e-commerce sebelah Lazada lebih enak lagi, vouchernya banyak dibantu juga dng koin!! Kesalahan besar Tokopedia adalah, kolaborasi dng Tiktok, sehingga kehilangan harga diri, kepribadiannya hilang",netral
4,Mudah dan banyak promo,positif
5,"ribet saat ini sedang tidak baik baik saja tokopedia !!! bagaimana jika tidak ada tiktok,apa harus juga digabungkan...sedih sangat sedih dg keadaan ini",positif
6,"hadeh. komplain barang karena rusak. disuruh kirim barang, status udh terkirim dan diterima taoi dana nggk ada dibalikin. chat di diskusi komplain juga nggk ada respon",negatif
7,ongkir lebih mahal dari pesanan.dan tidak readi COD.kalauh jauh dengan sebelahðŸ¤£ðŸ¤£ðŸ¤£,netral
8,"tidak ada solusi via Tokopedia care,buang aja napa gak usah ada kurir rekomendasi cargo kurir sicepat gokil paling sampah bikin rugi waktu dan biaya",negatif
9,parah sih warung ijo ini tokonya/penjualnya banyak penipuan beli minyak 1 dus dikirim case hp aduh tolong lah lebih di tinggatkan lagi kalo ada laporan dari customer toko udah nipu udahlah di blok ajah sangat meresahkan dan di sayangkan menjadikan repurtasi warung ijo ini jadi buruk menurut saya.,netral
10,pesan barang dari tokopedia yang datang dari shopee. minta bantuan costumer care tidak di tanggapi. tidak profesional.,negatif
11,"halo kak, untuk aplikasi tokped nya udah bagus ya. fitur-fitur nya juga udah lumayan cuman ada yang kurang nih kenapa aplikasi tokped yang sekarang suka crash/keluar sendiri? mohon diperbaiki kakðŸ‘",netral
12,bagus dan mahal dan murah baget bisa bayar di tempat,positif
13,Beli oli yang datang Helm..Kurir salah kirim paket trs saya komplain dari tanggal 12 April hingga tanggal 21 sebentar lagi sudah 2 minggu uang saya belum kembali dan helm belum di ambil lagi sama kurir nya..,negatif
