,reviews,Prediksi
0,saya suka pesan di shopee krn semua menu ada sesuai yg kita mau inginkan dan harga lebih murah,positif
1,pihak shopee tolong ya . klo dah niat ganti expedisi tolong di perbaiki kinerja nya . pake jnt dlu 3 hari smpe ke kalimantan . appaan ini pengiriman si cepat halu mesan tgl 10 estimasi tgl 21 . lama banget orang kalo mesen itu ya arti nya perlu dg barang tersebut !!,negatif
2,"kurirnya jelek, pengiriman saya ditunda terus udah seminggu lebih dari jadwal yg ditentukan, dan alasannya pun tidak jelas, saya sangat sangat kecewa dengan sistem pengiriman Shopee perbaiki lagi sistem pengirimannya kurirnya tidak pernah menghubungi saya sama sekali, tapi mereka mengatakan kalau saya tidak bisa dihubungi dan tidak berada di tempat, padahal pengirimannya sama sekali tidak dilakukan",negatif
3,"kenapa sekarang pengirimannya lama sekali, yg biasanya cuma tiga hari masa sekarang sampe satu minggu, kpan jnt dilakukan padahal jnt cepet banget datangnya",netral
4,"sangat membantu kebutuhan saya,produknya bagus ,pengiriman nya lumayan cepat ,dan payleternya membantu sekali , trimakasih shope",positif
5,"Penjual menjanjikan bonÃ¹s di jualannya setelah paket di terima bonusnya tidak ikut... dan chat di aplikasi kebanyakan gagal kirimnya, ....",netral
6,my favorite Market Place meskiuoun skrg pengiriman sepertinya agak sdkt lama dibanding dulu tp tetep ini aplikasi belanja favorit...apa sih yg gak ada di shoopee â¤ï¸,positif
7,sialll....knp pembayaran air PDAM slalu gak bisa di akses. woiii knapa woii apa emang aturan dri sana untuk sekalian cari uang dendanya setelah. semua keluar baru bisa di akses. woi shope jelasin donk kenapa slalu saja gak bisa di akses dan di proses.. woiii .. kasih penjelasan woii jangan Diam saja.,negatif
8,"makin kesini makin berat aplikasi nya, delay. bnyk aturan ga sprti aplikasi sebelah, pdhl dulu ga prnh mau cobaÂ² aplikasi lain, skrg mlah GA SUKA BGT PAKE SHOPEE, PDHL UDH BRTAHUNÂ² GA PRNH SEKECEWA INI. buga paylater juga mahal, aplikasi juga sering macet, intinya APLIKASI NYA BERAT BIKIN PUSING.",positif
9,saya beli barang memakai diskon tapi saat saya chek out sampe 6x barang nya sama tetep aja di kemas Mulu ga di kirim kirim setelah 3 hari di batalkan padahal sy g mbatalin terus 3h setelah nya ada paket datang 3x atas nama saya ini banyak penipuan ini mending ke toko sebelah,negatif
10,"Semakin kesini makin tidak jelas, selalu dibatalkan sistem karena aktivitas tidak wajar. Aplikasi aneh dan sangat tidak recommended. Sudah waktunya belanja di aplikasi lain. Terima kasihðŸ™",negatif
11,"Estimasinya gk ngotak makin kesini makin lambat setelah j&t di putus kontrak,malah di ganti SPX yg sangat lemot",netral
12,"biar bintang yang menjawab, sekarang shopee di keranjang sama pas checkout beda harga. aneh banget.!!",netral
13,"apl shopee makin kesini makin berat,membuat hp ngelag dan sangat panas saat di gunakan.",netral
14,"jasa pengiriman sangat buruk di semua provinsi di Indonesia. pelayana CS pun sama tidak dapat bekerjasama dengan jasa kirim untuk menyelsaikan kendala pengiriman barang hanya mampu memberikan janji. aplikasi omon"" doank",netral
15,"banyak unsur penyesatan atau bisa juga penipuan bagi yang tidak teliti cek deskripsi harga produk..di gambar display produk tertera harga murah tp setelah dicek deskripsi, harga tersebut untuk produk yg berbeda dengan display...jadi semakin teliti dan bijak saja dlm meluhat display produk...jgn lihat harga barsng murah main langsung check out aja...untuk seller bisa dikategorikan penipuan konsumen atau unsur penipuan karena display tdk sesuai antara harga dengan foto barang display nya",positif
16,enak di shoope ada system cek dulu walaupun sudah di buka kalau gak cocok bisa di kembalikan.,positif
17,"kasih bintang tiga dulu soalnya sekarang paket nya suka lama datang semenjak pakai spx, biasanya pesan yg dari Banda Aceh gak sampai seminggu udah datang kalau pakai jnt, kalau pakai spx keliling Indonesia dulu paket nya baru nyampekðŸ˜©, semoga untuk kedepannya bisa cepat sesuai estimasi nya",netral
18,"pesanan di aplikasi ini terlalu ribet pesanan nya di puterÂ² transit dri jakarta nanti ke bandung nanti ke jakarta lagi ora jelas, jauhi sopi dekati lazada",negatif
19,"Halo pihak shopee, akhirÂ² ini ada penarikan dana sejumlah 76.590 tolong dicek itu kemana larinya, karna ketika saya cek notif tidak jelas penerimanya, meskipun saldo shopeepay saya tidak terpotong, tapi itu cukup meresahkan untuk kedepannya apabila saya mengisi saldo sewaktuÂ²",negatif
20,"sebal.! ketika buka apk langsung masuk ke menu vidio pindah ke menu lain vidio masih muter ngoceh sendiri, keluar apk hapus cache sama begitu lagi menyebalkan,,,,,,sengaja kayaknya di buat begitu",netral
21,"maaf ya, bintangnya saya ambil lagi.. dari dulu pake shopee slalu aman tanpa kendala, tapi akhir"" ini pelayanan shopee sangat buruk, pesanan saya di kembalikan tanpa alasan yg jelas, padahal masih dlm pengiriman ke kota tujuan, pernah jg paket sy hilang begitu sj pada saat pengiriman. sangat buruk, bnyak masalah tanpa penjelasan.",negatif
22,kok apk sopie malah ngak bisa COD sih .ini gimana saya mau beli barang malah ngak bisa COD .,netral
23,kasih 1 bintang sangat kecewa pengiriman terlalu lama trus kadang paket saya di retur otomatis dari pihak spx,netral
24,"knp begitu saya buka aplikasi sopi langsung masuk bagian Live & Video.. walaupun udah buka menu yg lain suara video msh keluar, sampai kpn begini??",netral
25,"terimakasih shopee sekarang sudah normal kembali limitnya,saya kasih bintang 7 kalau ada hehe",netral
26,"RIBET, gmn mau ""lupa password"" kalau disuruh masukin pass lama buat bikin pass baru. STRESS",negatif
27,"belanja di shopee belum pernah kecewa, alhamdulillah.. fast delivery..",positif
28,"mantap, hanya harga barang dan ongkirnya berubah rubah tidak menentu, bagusnya tetap hingga pembelanjaan semakin lancar,,",positif
29,shopee aplikasi sangat bagus mudah &cepat dalampengiriman,positif
30,ok. buat shopee ..saran saya perbaiki pengiriman nya jangan ada suka lambat...dan tolong tampilkn no kurir nya klow paket udah nyampai tujuan....maksih,netral
31,"suka belanja di shopee,banyak diskon dan gratis pengiriman ðŸ«¶ðŸ‘",positif
32,parah akun saya yang lama hilang nomer telpon nyangkut di sana tidak bisa di ganti harus login ke akun yang hilang tau email udah gak ada tolong di perbaiki untuk cara login ke akun yang hilang hanya dengan telpon saja atau bisa di log out dengan telpon saja,negatif
33,"Barang tidak sesuai dgn gambar ya, jasa kirim mahal , barang lama banget yampe nya.parahhh",positif
34,"belanja di shopee murah banyak diskonnya,bisa pake paylater pula ðŸ‘",positif
35,Sangat membantu dalam memudahkan belanja kebutuhan sehariÂ² bahkan untuk kebutuhan makan dan minum. bisa menggunakan spaylater yang ada. namun shopee pinjam nya tolong dong bunga nya di turunkan atau lebih banyak lagi promoÂ²nya. semoga ada perubahan,positif
36,"Hai admin shopee aku ada saran nih ,buat dong sistem bayar cod minimal 7 atau sampai 10 , tujuan nya saya malas mau ke konter bayar transfer,lebih enak bayar langsung, semoga masukan nya di baca dan di terapkan yakk",negatif
37,"saya punya saldo shopee pay sebesar 21ribu,tapi pas mau cek out harga 14ribu kok gak bisa",negatif
38,"udah lama langganan SMA shopee,cuman kok akhir akhir ini,brangx kadang direture kitanya tidak membatalkan brang yg di pesan,berani pesan berani bayar,dan akhir akhir ini sistem codx di non aktif itu knp ya...",netral
39,maaf ya shopee..kali ini gak akan saya edit lagi ulasan ini..sudah 2 kali produk yang saya jual terhapus dengan alasan produk mengandung alkohol(ada gilanya )setelah saya menambahkan variasi motif produk sarung bantal baru. Random sekali alasannya. produk saya tersebut telah terjual 2ribuan lebih lho.. kalau ada bintang 0...akan saya kasih bintang 0 kalau begini,netral
40,"aplikasi sekarang sering eror bahkan gak bisa dibuka gak bisa beli sekarang, sering muncul pesan #halaman tidak tersedia # maaf. telah terjadi kesalahan. silahkan kembali dan coba lagi atau kembali kehalaman utama.",netral
41,sekarang buka shopee selalu langsung masuk ke menu live..bikin ngelag siaul!!!,netral
