,reviews,Prediksi
0,belanja jadi mudah dan diskon lebih babyak,positif
1,ga tegas sama seller yg bandel dan menyepelekan pengiriman masa pesanan nunggu 1 minggu gaada kabar dan gaada respon chat minta cancel aja sulit bgt dan tetap maksa dikirim,negatif
2,"makin kesini toped makin buruk pelayanan, mode pembatalan pembelian susah di akses, banyak penjual yang tidak kooperatif di biarin. barang di proses tidak dikirim kirim,di batalin juga tidak bisa. di chat tidak di respons TOKOPEDIA mundur ke jaman jahiliyah. sudah hub CS tidak ada solusi.",netral
3,"sangat Kecewa sama toped, barang lama sekali tidak dikirim2 dan akhirnya pembelian dibatalkan sistem tapi yg dikembalikan ke DAna cuma harga barang, biaya ongkir dan jasa layanan tidak dikembalikan",negatif
4,tertarik diskon& promosi nyaðŸ‘,positif
5,"parah gue gak pernah transaksi di tokopedia tau tau saldo dana saya di potong enak kalo dikit 200 ribu ,gue lihat transaksi di akun dana saya di potong pembayaran tiktok shop tokopedia",negatif
6,"Tolong dong kepada pihak staf dan jajaran serta bos nya tokped, jangan suka makÃ© atau muterin dana pembeli, jadi modusnya kita order pembayaran TF nyatanya barang kosong dan akhirnya dana nyangkut di saldo tokped. masa sejak TF selama empat hari gak di prosesÂ² ujungÂ²nya barang kosong. dasar mental pencuri lah Saya udah sering begitu jadi males belanja di tokped.",negatif
7,"Ini aplikasi makin aneh kadang sush upload foto saat kasih penilaian, makin lemot, dan sering mengalami ganguan di rumah tokopedia.. Anehhhh",netral
8,"kerenlah pokoknya tokped. banyak diskonnya. ajukan komplain gampang. pusat bantuannya fast respon. jadi gampang laporannya ga takut uang hilang kalau ada toko mau tipu2, asal punya video unboxing aja. Semoga tokped semakin tegas sm akun2 penipu, biar ga banyak makan korban. biar belanja tambah nyaman.",positif
9,"Makin ke sini makin ke sana, cs ampas. komplain barang ga sampai tidak di tindak padahal udah di kasih waktu tambahan 2 hari malah molor 3 hari bahkan ga selesai selesai juga tuh komplain di pusat resolusi. mending beli apa apa di shopee aja sih kata gw mah, komplain satset ga kek karya anak bangsa ini lemot",netral
10,"I'm very love tokopedia, hahahaha sukanya ngasih promo dadakan ih, tapi kalau tanggal kembar belum tentu di kasi promo. lebih ngutamain promo akun lama dari pada akun baru, kalau ngasih promo potongan nya ga main main ih ga pelit, walau respon saler nya agak slow tapi its okey, pengiriman nya pake j&t jadinyaa sukaa soalnya cepet, sampe akrab sama kurirnya juga. buat tokopedia tumbuh semakin baik lagi yaa! banyakin promonya lagi+gratis ongkir. tolong pertahanin j&t yaa. big love untuk tokped ku!",positif
11,"tolong dong tokopedia,,,produk bapel hijau 16 jangan di blokir dong,,,saya udah langganan banget sama produk tersebut tapi produknya malah di blokir sama aplikasinya...",netral
12,kok gini amat ya Tokopedia tiba tiba banget pesanan di batalkannnn dari sistemmmm,negatif
13,jadi cerita nya akun utama saya tidak pernah ada voucher gratis ongkir padahal saya sering belanja pke akun utama saya coba pake akun ke dua & ketiga saya nah heran nya akun lain selalu dapat voucher gratis ongkir,netral
14,terimakasih mantab aplikasi terbaik bisa belanja dengan mudah,positif
15,"Ada penjual yang sudah lama tidak aktif namun tetap memostingkan dagangannya, dichat gada respon. parah terus saya pesan barang alamat sudah sesuai malah dibilangnya di sistem alamatnya tidak di temukan, padahal di shopee aman aman aja. parah mau chat ke cs tokpednya gabisa, ribet",positif
16,"Jelek bngt, barang tidak sampai di saya tapi uangnya stuck, udah ajukan COMPLAIN juga dibalesnya oleh BOT. Customer benar benar tidak punya jaminan aman belanja disini.",negatif
17,"Tolong sediakan fitur cari produk pakai foto dong, biar lebih cepet nyarinya. Kadang susah kalo cuma pakai ketikan ðŸ˜­",netral
18,"keberpihakan penuh untk platform ini, mudah dpakai dgn segala informasi yg jelas",positif
19,praktis dan cepat,positif
20,"saat ini aplikasi banyak gangguan, please di refresh kembali",negatif
21,"kurir lambat, tidak rekomendasi sesama kota sampainya 2 Minggu lebih baru sampai paketnya, payah",negatif
22,"Mohon untuk tokped agar membenahi sellernya, banyak yang gak aktif/respon lama. Selain itu fitur gratis ongkir juga jangan hanya JNE saja, lama sekali layanan kirim expedisi ini.",negatif
23,"banyak barang palsu, tidak sesuai deskripsi, barang rusak/reject. penyelesaian masalh dengan penjual sulit, kadang tidak memihak konsumen, penjual nakal dibiarkan tetap berjualan. tambahan... klu memang toko tutup/libur jgn buka layanan. pesan barang tgl 3 april 2025 sampai hari ini tgl 7 april hanya proses. minta batal harus nunggu persetujuan toko smpai tgl 9 april. tolol amat ya. duit udh masuk, barang mau dipake, tp proses aja ngga. sepertinya udh cukup pake aplikasi ini.",negatif
