,reviews,Prediksi
0,"tidak bisa diakses, selalu muncul halaman masukkan kode verifikasi, begitu seterusnya, setelah diisi kode verifikasi, muncul halaman masukkan kode verifikasi, begitu seterusnya.",negatif
1,"tokped care nya ngaco bgt. gak ngasih solusi apa2. toko nipu konsumen, alamat toko ga jelas n ga lkp, untuk retur gak bs donk...ekspedisi nolak krn alamat tdk jelas. complain ke tokopedia care, 2 hr ga ditanggapi. padahal bukti udh sejelas itu tp tokped msh ga ada tanggapan jg mikir2 lg deh klo bli di tokped. untuk penipuan, marketplace sblh jg pasti ada aja...tp yg ptg adlh CS marketplace nya bisa hadir di kasus yg ada. tp tokped seakan melindungi penipu",negatif
2,Toko online yang SANGAT RIBEEEET bahkan ga pernah dapetin gratis ongkir gak kaya oren,netral
3,"server nya tolong benerin, masa tiap mau klaim voucher gratis ga bisa si.",netral
4,banyak promo menariknya nihhh.... ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,positif
5,proses pembayarannya mudah,positif
6,"proses di pusat resolusi kok lama sekali. sudah nunggu 2 Minggu , tidak ada penyelesaian dari Tokopedia. customer service AI. jawaban template. Terakhir ini saya pake Tokopedia, selanjutnya uninstall . hati2 buat kalian yg mau transaksi di Tokopedia. kalo ada kendala, yg jawab AI... akan disuruh tunggu terus tanpa kepastian",negatif
7,"Ini apk lamaÂ² ngelunjak,seminggu sekali minta update buset apk macam shopee dan lazada aja bisa berbulan bulan baru minta. Lha ini tiap minggu minta di update",netral
8,akhir akhir ini pelit voucher dah.langganan plus pun juga kagak dpt,negatif
9,software mudah digunakan dan banyak membantu,positif
10,toko pedia emang baik barangnya original semua,positif
11,"hati hati kalau belanja bukan di official store karena suka ada yang nipu walaupun rating toko 5, terus abis itu penipu tidak ditindak lanjuti tapi kita sebagai konsumen gak ada perlindunganya sama sekali padahal yang bisa menjembatani konsumen sama penjual kan tokopedia. call centernya juga muter muter, aplikasi bug. kalau gak urgent better cari paltform lain soalnya baru kali ini ketipu pas belanja online ðŸ˜Œ",netral
12,setelah diupdate ko gK ada muncul lagi potongan gratis ongkirnya,netral
13,puas banget belanja disini,positif
